date,rank,album,artist
2025-11-15,106,I Never Liked You,Future
2025-11-15,107,Teenage Dream,Katy Perry
2025-11-15,108,DAMN.,Kendrick Lamar
2025-11-15,109,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-15,110,Channel Orange,Frank Ocean
2025-11-15,111,Thank Me Later,Drake
2025-11-15,112,Greatest Hits,Creed
2025-11-15,113,Merry Christmas,Mariah Carey
2025-11-15,114,AM,Arctic Monkeys
2025-11-15,115,T R A P S O U L,Bryson Tiller
2025-11-15,116,Doo-Wops & Hooligans,Bruno Mars
2025-11-15,117,Cold Beer & Country Music,Zach Top
2025-11-15,118,Greatest Hits,Fleetwood Mac
2025-11-15,119,Freudian,Daniel Caesar
2025-11-15,120,Own Worst Enemy,Gavin Adcock
2025-11-15,121,Born To Die,Lana Del Rey
2025-11-15,122,Greatest Hits,2Pac
2025-11-15,123,American Heart,Benson Boone
2025-11-15,124,ANTI,Rihanna
2025-11-15,125,The Best Of Sade,Sade
2025-11-15,126,Greatest Hits,Tom Petty And The Heartbreakers
2025-11-15,127,Greatest Hits,Guns N' Roses
2025-11-15,128,Goodbye & Good Riddance,Juice WRLD
2025-11-15,129,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-15,130,35 Biggest Hits,Toby Keith
2025-11-15,131,Tropicoqueta,Karol G
2025-11-15,132,Child Of God,Forrest Frank
2025-11-15,133,Starting Over,Chris Stapleton
2025-11-15,134,Last Lap,Rod Wave
2025-11-15,135,Leather,Cody Johnson
2025-11-15,136,The Great American Bar Scene,Zach Bryan
2025-11-15,137,Religiously. The Album.,Bailey Zimmerman
2025-11-15,138,2014 Forest Hills Drive,J. Cole
2025-11-15,139,1989,Taylor Swift
2025-11-15,140,More Life,Drake
2025-11-15,141,Texas Forever,Hudson Westbrook
2025-11-15,142,Heroes & Villains,Metro Boomin
2025-11-15,143,All Time Greatest Hits,Lynyrd Skynyrd
2025-11-15,144,Evermore,Taylor Swift
2025-11-15,145,What Not To,Tucker Wetmore
2025-11-15,146,House Of Balloons,The Weeknd
2025-11-15,147,Gold: Greatest Hits,ABBA
2025-11-15,148,Restless Mind,Sam Barber
2025-11-15,149,Tha Carter III,Lil Wayne
2025-11-15,150,Toxicity,System of a Down
2025-11-15,151,Exodo,Peso Pluma
2025-11-15,152,1989 (Taylor's Version),Taylor Swift
2025-11-15,153,Even In Arcadia,Sleep Token
2025-11-15,154,Andrew Gold's Halloween Howls: Fun & Scary Music,Andrew Gold
2025-11-15,155,OK Computer,Radiohead
2025-11-15,156,Utopia,Travis Scott
2025-11-15,157,California Sunrise,Jon Pardi
2025-11-15,158,Breach,Twenty One Pilots
2025-11-15,159,Planet Her,Doja Cat
2025-11-15,160,Ultimate Christmas,Bing Crosby
2025-11-15,161,Perfect Storm: Sorry 4 The Rain,Hurricane Wisdom
2025-11-15,162,A Matter Of Time,Laufey
2025-11-15,163,"Through The Open Window: The Bootleg Series, Vol. 18, 1956-1963",Bob Dylan
2025-11-15,164,Sex Hysteria,jessie murph
2025-11-15,165,We Don't Trust You,Future & Metro Boomin
2025-11-15,166,ASTROWORLD,Travis Scott
2025-11-15,167,Mi Vida Mi Muerte,Neton Vega
2025-11-15,168,Their Greatest Hits 1971-1975,Eagles
2025-11-15,169,Over It,Summer Walker
2025-11-15,170,Todavia Me Amas: Lo Mejor de Aventura,Aventura
2025-11-15,171,The Original Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
2025-11-15,172,Genesis,Peso Pluma
2025-11-15,173,Ego Death At A Bachelorette Party,Hayley Williams
2025-11-15,174,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers
2025-11-15,175,King Of Hearts,Brandon Lake
2025-11-15,176,Beautifully Broken,Jelly Roll
2025-11-15,177,Greatest Hits,The Notorious B.I.G.
2025-11-15,178,Greatest Hits,Bob Seger & The Silver Bullet Band
2025-11-15,179,Greatest Hits,Aerosmith
2025-11-15,180,Gettin' Old,Luke Combs
2025-11-15,181,No Vacancy,Treaty Oak Revival
2025-11-15,182,Nostalgia,Rod Wave
2025-11-15,183,AI YoungBoy 2,YoungBoy Never Broke Again
2025-11-15,184,Never Enough,Daniel Caesar
2025-11-15,185,SoulFly,Rod Wave
2025-11-15,186,Confessions,Usher
2025-11-15,187,Metallica,Metallica
2025-11-15,188,Red (Taylor's Version),Taylor Swift
2025-11-15,189,DS2,Future
2025-11-15,190,The Black Parade,My Chemical Romance
2025-11-15,191,Tha Carter IV,Lil Wayne
2025-11-15,192,The Definitive Collection,Stevie Wonder
2025-11-15,193,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists"
2025-11-15,194,Luv Is Rage 2,Lil Uzi Vert
2025-11-15,195,Cosa Nuestra,Rauw Alejandro
2025-11-15,196,One - X,Three Days Grace
2025-11-15,197,Get Rich Or Die Tryin',50 Cent
2025-11-15,198,Parachutes,Coldplay
2025-11-15,199,Higher,Chris Stapleton
2025-11-15,200,Hail To The Thief: Live Recordings 2003-2009,Radiohead
2025-11-22,1,The Life Of A Showgirl,Taylor Swift
2025-11-22,2,I'm The Problem,Morgan Wallen
2025-11-22,3,KPop Demon Hunters,Soundtrack
2025-11-22,4,Lux,ROSALIA
2025-11-22,5,The Art Of Loving,Olivia Dean
2025-11-22,6,Man's Best Friend,Sabrina Carpenter
2025-11-22,7,SOS,SZA
2025-11-22,8,Am I The Drama?,Cardi B
2025-11-22,9,One Thing At A Time,Morgan Wallen
2025-11-22,10,No Labels: Part 01 (EP),YEONJUN
2025-11-22,11,I Barely Know Her,sombr
2025-11-22,12,Ego Death At A Bachelorette Party,Hayley Williams
2025-11-22,13,"You'll Be Alright, Kid",Alex Warren
2025-11-22,14,Stick Season,Noah Kahan
2025-11-22,15,Lil Herb,G Herbo
2025-11-22,16,Dangerous: The Double Album,Morgan Wallen
2025-11-22,17,Debi Tirar Mas Fotos,Bad Bunny
2025-11-22,18,Short n' Sweet,Sabrina Carpenter
2025-11-22,19,Hit Me Hard And Soft,Billie Eilish
2025-11-22,20,So Close To What,Tate McRae
2025-11-22,21,30 Number One Hits,Jason Aldean
2025-11-22,22,Take Care,Drake
2025-11-22,23,Rumours,Fleetwood Mac
2025-11-22,24,CHROMAKOPIA,"Tyler, the Creator"
2025-11-22,25,Christmas,Michael Buble
2025-11-22,26,MAYHEM,Lady Gaga
2025-11-22,27,MASA,YoungBoy Never Broke Again
2025-11-22,28,+-=÷x (Tour Collection),Ed Sheeran
2025-11-22,29,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake
2025-11-22,30,Diamonds,Elton John
2025-11-22,31,$ad Boyz 4 Life II,Junior H
2025-11-22,32,GNX,Kendrick Lamar
2025-11-22,33,The Rise And Fall Of A Midwest Princess,Chappell Roan
2025-11-22,34,Un Verano Sin Ti,Bad Bunny
2025-11-22,35,Beautiful Chaos (EP),KATSEYE
2025-11-22,36,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio
2025-11-22,37,111XPANTIA,Fuerza Regida
2025-11-22,38,Deadbeat,Tame Impala
2025-11-22,39,The Tortured Poets Department,Taylor Swift
2025-11-22,40,Thriller,Michael Jackson
2025-11-22,41,Curtain Call: The Hits,Eminem
2025-11-22,42,Karma: The 4th Album,Stray Kids
2025-11-22,43,Swag,Justin Bieber
2025-11-22,44,The Last Wun,Gunna
2025-11-22,45,"Where I've Been, Isn't Where I'm Going",Shaboozey
2025-11-22,46,Ultimate Christmas,Bing Crosby
2025-11-22,47,MUSIC,Playboi Carti
2025-11-22,48,Submarine,The Marias
2025-11-22,49,Merry Christmas,Mariah Carey
2025-11-22,50,Folklore,Taylor Swift
2025-11-22,51,The Secret Of Us,Gracie Abrams
2025-11-22,52,Papercuts,Linkin Park
2025-11-22,53,American Heartbreak,Zach Bryan
2025-11-22,54,Views,Drake
2025-11-22,55,Sour,Olivia Rodrigo
2025-11-22,56,The Best Of Nickelback: Volume 1,Nickelback
2025-11-22,57,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
2025-11-22,58,Don't Mind If I Do,Riley Green
2025-11-22,59,I Hope You're Happy,BigXthaPlug
2025-11-22,60,Son Of Spergy,Daniel Caesar
2025-11-22,61,"good kid, m.A.A.d city",Kendrick Lamar
2025-11-22,62,Greatest Hits,Queen
2025-11-22,63,Certified Lover Boy,Drake
2025-11-22,64,Ctrl,SZA
2025-11-22,65,Guts,Olivia Rodrigo
2025-11-22,66,The Collection,OneRepublic
2025-11-22,67,Blonde,Frank Ocean
2025-11-22,68,Wings,Wings
2025-11-22,69,Eternal Sunshine,Ariana Grande
2025-11-22,70,For All The Dogs,Drake
2025-11-22,71,Currents,Tame Impala
2025-11-22,72,Hurry Up Tomorrow,The Weeknd
2025-11-22,73,"Greatest Hits, Vol. I & II",Billy Joel
2025-11-22,74,The Christmas Song,Nat King Cole
2025-11-22,75,Fireworks & Rollerblades,Benson Boone
2025-11-22,76,Graduation,Kanye West
2025-11-22,77,Lover,Taylor Swift
2025-11-22,78,I've Tried Everything But Therapy (Part I),Teddy Swims
2025-11-22,79,Journey's Greatest Hits,Journey
2025-11-22,80,The Fame,Lady Gaga
2025-11-22,81,Nevermind,Nirvana
2025-11-22,82,Hozier,Hozier
2025-11-22,83,Hamilton: An American Musical,Original Broadway Cast
2025-11-22,84,Hungover,Ella Langley
2025-11-22,85,Hollywood's Bleeding,Post Malone
2025-11-22,86,Child Of God II,Forrest Frank
2025-11-22,87,Think Later,Tate McRae
2025-11-22,88,Midnights,Taylor Swift
2025-11-22,89,Everybody Scream,Florence + the Machine
2025-11-22,90,If I Know Me,Morgan Wallen
2025-11-22,91,reputation,Taylor Swift
2025-11-22,92,Starboy,The Weeknd
2025-11-22,93,Take Care,BigXthaPlug
2025-11-22,94,50 Number Ones,George Strait
2025-11-22,95,Traveller,Chris Stapleton
2025-11-22,96,[Hybrid Theory],Linkin Park
2025-11-22,97,Hearts Sold Separately,Mariah the Scientist
2025-11-22,98,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists"
2025-11-22,99,Ultimate Christmas,Frank Sinatra
2025-11-22,100,My Turn,Lil Baby
2025-11-22,101,Scorpion,Drake
2025-11-22,102,AM,Arctic Monkeys
2025-11-22,103,Channel Orange,Frank Ocean
2025-11-22,104,This One's For You,Luke Combs
2025-11-22,105,DAMN.,Kendrick Lamar
2025-11-22,106,A Christmas Gift For You From Phil Spector,Various Artists
2025-11-22,107,Greatest Hits,Pitbull
2025-11-22,108,F-1 Trillion,Post Malone
2025-11-22,109,Beauty Behind The Madness,The Weeknd
2025-11-22,110,Zach Bryan,Zach Bryan
2025-11-22,111,After Hours,The Weeknd
2025-11-22,112,Good Girl Gone Bad,Rihanna
2025-11-22,113,Leather,Cody Johnson
2025-11-22,114,Greatest Hits,Creed
2025-11-22,115,Thank Me Later,Drake
2025-11-22,116,Teenage Dream,Katy Perry
2025-11-22,117,Freudian,Daniel Caesar
2025-11-22,118,Greatest Hits,Tom Petty And The Heartbreakers
2025-11-22,119,Doo-Wops & Hooligans,Bruno Mars
2025-11-22,120,American Heart,Benson Boone
2025-11-22,121,T R A P S O U L,Bryson Tiller
2025-11-22,122,I Never Liked You,Future
2025-11-22,123,Born To Die,Lana Del Rey
2025-11-22,124,The Best Of Sade,Sade
2025-11-22,125,Starting Over,Chris Stapleton
2025-11-22,126,Cold Beer & Country Music,Zach Top
2025-11-22,127,Goodbye & Good Riddance,Juice WRLD
2025-11-22,128,Greatest Hits,Fleetwood Mac
2025-11-22,129,ANTI,Rihanna
2025-11-22,130,35 Biggest Hits,Toby Keith
2025-11-22,131,Greatest Hits,2Pac
2025-11-22,132,OK Computer,Radiohead
2025-11-22,133,Greatest Hits,Guns N' Roses
2025-11-22,134,Own Worst Enemy,Gavin Adcock
2025-11-22,135,Brat,Charli xcx
2025-11-22,136,2014 Forest Hills Drive,J. Cole
2025-11-22,137,Hamilton: 10 Shots (Highlights From The Original Broadway Cast Recording),Original Broadway Cast Recording
2025-11-22,138,California Sunrise,Jon Pardi
2025-11-22,139,Texas Forever,Hudson Westbrook
2025-11-22,140,All Time Greatest Hits,Lynyrd Skynyrd
2025-11-22,141,More Life,Drake
2025-11-22,142,What Not To,Tucker Wetmore
2025-11-22,143,Over It,Summer Walker
2025-11-22,144,The Great American Bar Scene,Zach Bryan
2025-11-22,145,House Of Balloons,The Weeknd
2025-11-22,146,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-22,147,1989,Taylor Swift
2025-11-22,148,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-22,149,Last Lap,Rod Wave
2025-11-22,150,Tropicoqueta,Karol G
2025-11-22,151,Gold: Greatest Hits,ABBA
2025-11-22,152,Heroes & Villains,Metro Boomin
2025-11-22,153,Genesis,Peso Pluma
2025-11-22,154,T-Pain Presents Happy Hour: The Greatest Hits,T-Pain
2025-11-22,155,1989 (Taylor's Version),Taylor Swift
2025-11-22,156,Exodo,Peso Pluma
2025-11-22,157,Evermore,Taylor Swift
2025-11-22,158,Religiously. The Album.,Bailey Zimmerman
2025-11-22,159,Tha Carter III,Lil Wayne
2025-11-22,160,Toxicity,System of a Down
2025-11-22,161,Never Enough,Daniel Caesar
2025-11-22,162,Child Of God,Forrest Frank
2025-11-22,163,Even In Arcadia,Sleep Token
2025-11-22,164,A Matter Of Time,Laufey
2025-11-22,165,Utopia,Travis Scott
2025-11-22,166,Todavia Me Amas: Lo Mejor de Aventura,Aventura
2025-11-22,167,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers
2025-11-22,168,Restless Mind,Sam Barber
2025-11-22,169,Higher,Chris Stapleton
2025-11-22,170,Mi Vida Mi Muerte,Neton Vega
2025-11-22,171,Breach,Twenty One Pilots
2025-11-22,172,No Vacancy,Treaty Oak Revival
2025-11-22,173,Happier Than Ever,Billie Eilish
2025-11-22,174,Greatest Hits,Bob Seger & The Silver Bullet Band
2025-11-22,175,Their Greatest Hits 1971-1975,Eagles
2025-11-22,176,Pure Heroine,Lorde
2025-11-22,177,Greatest Hits,Aerosmith
2025-11-22,178,Beautifully Broken,Jelly Roll
2025-11-22,179,The Best Of Pentatonix Christmas,Pentatonix
2025-11-22,180,Gettin' Old,Luke Combs
2025-11-22,181,Planet Her,Doja Cat
2025-11-22,182,We Don't Trust You,Future & Metro Boomin
2025-11-22,183,Nostalgia,Rod Wave
2025-11-22,184,"Thank U, Next",Ariana Grande
2025-11-22,185,Red (Taylor's Version),Taylor Swift
2025-11-22,186,King Of Hearts,Brandon Lake
2025-11-22,187,Sex Hysteria,jessie murph
2025-11-22,188,SoulFly,Rod Wave
2025-11-22,189,ASTROWORLD,Travis Scott
2025-11-22,190,Cigarettes After Sex,Cigarettes After Sex
2025-11-22,191,Last Christmas (Soundtrack),George Michael & Wham!
2025-11-22,192,The Black Parade,My Chemical Romance
2025-11-22,193,DS2,Future
2025-11-22,194,Hot Fuss,The Killers
2025-11-22,195,Parachutes,Coldplay
2025-11-22,196,AI YoungBoy 2,YoungBoy Never Broke Again
2025-11-22,197,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston
2025-11-22,198,Confessions,Usher
2025-11-22,199,The Select,Ty Myers
2025-11-22,200,The Highlights,The Weeknd
2025-11-29,1,The Life Of A Showgirl,Taylor Swift
2025-11-29,2,Finally Over It,Summer Walker
2025-11-29,3,I'm The Problem,Morgan Wallen
2025-11-29,4,Fear (EP),NF
2025-11-29,5,KPop Demon Hunters,Soundtrack
2025-11-29,6,Everyone's A Star!,5 Seconds of Summer
2025-11-29,7,The Art Of Loving,Olivia Dean
2025-11-29,8,Man's Best Friend,Sabrina Carpenter
2025-11-29,9,SOS,SZA
2025-11-29,10,One Thing At A Time,Morgan Wallen
2025-11-29,11,Am I The Drama?,Cardi B
2025-11-29,12,"You'll Be Alright, Kid",Alex Warren
2025-11-29,13,Stick Season,Noah Kahan
2025-11-29,14,Short n' Sweet,Sabrina Carpenter
2025-11-29,15,Debi Tirar Mas Fotos,Bad Bunny
2025-11-29,16,Dangerous: The Double Album,Morgan Wallen
2025-11-29,17,Lux,ROSALIA
2025-11-29,18,Christmas,Michael Buble
2025-11-29,19,Everything Is A Lot.,Wale
2025-11-29,20,Hit Me Hard And Soft,Billie Eilish
2025-11-29,21,So Close To What,Tate McRae
2025-11-29,22,Take Care,Drake
2025-11-29,23,Rumours,Fleetwood Mac
2025-11-29,24,CHROMAKOPIA,"Tyler, the Creator"
2025-11-29,25,I Barely Know Her,sombr
2025-11-29,26,30 Number One Hits,Jason Aldean
2025-11-29,27,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio
2025-11-29,28,Sex Hysteria,jessie murph
2025-11-29,29,Diamonds,Elton John
2025-11-29,30,Ultimate Christmas,Bing Crosby
2025-11-29,31,Beautiful Chaos (EP),KATSEYE
2025-11-29,32,111XPANTIA,Fuerza Regida
2025-11-29,33,+-=÷x (Tour Collection),Ed Sheeran
2025-11-29,34,MASA,YoungBoy Never Broke Again
2025-11-29,35,Swag,Justin Bieber
2025-11-29,36,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake
2025-11-29,37,Merry Christmas,Mariah Carey
2025-11-29,38,The Rise And Fall Of A Midwest Princess,Chappell Roan
2025-11-29,39,The Tortured Poets Department,Taylor Swift
2025-11-29,40,Un Verano Sin Ti,Bad Bunny
2025-11-29,41,GNX,Kendrick Lamar
2025-11-29,42,$ad Boyz 4 Life II,Junior H
2025-11-29,43,Lil Herb,G Herbo
2025-11-29,44,The Christmas Song,Nat King Cole
2025-11-29,45,Karma: The 4th Album,Stray Kids
2025-11-29,46,Thriller,Michael Jackson
2025-11-29,47,"Where I've Been, Isn't Where I'm Going",Shaboozey
2025-11-29,48,Curtain Call: The Hits,Eminem
2025-11-29,49,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists"
2025-11-29,50,Submarine,The Marias
2025-11-29,51,Folklore,Taylor Swift
2025-11-29,52,MUSIC,Playboi Carti
2025-11-29,53,Ego Death At A Bachelorette Party,Hayley Williams
2025-11-29,54,The Secret Of Us,Gracie Abrams
2025-11-29,55,The Last Wun,Gunna
2025-11-29,56,Views,Drake
2025-11-29,57,American Heartbreak,Zach Bryan
2025-11-29,58,Deadbeat,Tame Impala
2025-11-29,59,A Christmas Gift For You From Phil Spector,Various Artists
2025-11-29,60,Sour,Olivia Rodrigo
2025-11-29,61,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
2025-11-29,62,"good kid, m.A.A.d city",Kendrick Lamar
2025-11-29,63,I Hope You're Happy,BigXthaPlug
2025-11-29,64,Don't Mind If I Do,Riley Green
2025-11-29,65,Greatest Hits,Queen
2025-11-29,66,Ultimate Christmas,Frank Sinatra
2025-11-29,67,I've Tried Everything But Therapy (Part I),Teddy Swims
2025-11-29,68,Mount Pleasant (EP),Kelsea Ballerini
2025-11-29,69,Blonde,Frank Ocean
2025-11-29,70,Hazbin Hotel: Season Two,Soundtrack
2025-11-29,71,The Best Of Nickelback: Volume 1,Nickelback
2025-11-29,72,MAYHEM,Lady Gaga
2025-11-29,73,Guts,Olivia Rodrigo
2025-11-29,74,Ctrl,SZA
2025-11-29,75,Certified Lover Boy,Drake
2025-11-29,76,Eternal Sunshine,Ariana Grande
2025-11-29,77,Hungover,Ella Langley
2025-11-29,78,Nevermind,Nirvana
2025-11-29,79,For All The Dogs,Drake
2025-11-29,80,The Collection,OneRepublic
2025-11-29,81,Graduation,Kanye West
2025-11-29,82,Hurry Up Tomorrow,The Weeknd
2025-11-29,83,Currents,Tame Impala
2025-11-29,84,"Greatest Hits, Vol. I & II",Billy Joel
2025-11-29,85,Lover,Taylor Swift
2025-11-29,86,Fireworks & Rollerblades,Benson Boone
2025-11-29,87,Journey's Greatest Hits,Journey
2025-11-29,88,Midnights,Taylor Swift
2025-11-29,89,The Fame,Lady Gaga
2025-11-29,90,Hozier,Hozier
2025-11-29,91,Starboy,The Weeknd
2025-11-29,92,Hamilton: An American Musical,Original Broadway Cast
2025-11-29,93,Hollywood's Bleeding,Post Malone
2025-11-29,94,Think Later,Tate McRae
2025-11-29,95,My Turn,Lil Baby
2025-11-29,96,Take Care,BigXthaPlug
2025-11-29,97,AM,Arctic Monkeys
2025-11-29,98,Channel Orange,Frank Ocean
2025-11-29,99,50 Number Ones,George Strait
2025-11-29,100,F-1 Trillion,Post Malone
2025-11-29,101,Child Of God II,Forrest Frank
2025-11-29,102,[Hybrid Theory],Linkin Park
2025-11-29,103,Meteora,Linkin Park
2025-11-29,104,DAMN.,Kendrick Lamar
2025-11-29,105,Traveller,Chris Stapleton
2025-11-29,106,Scorpion,Drake
2025-11-29,107,reputation,Taylor Swift
2025-11-29,108,After Hours,The Weeknd
2025-11-29,109,Good Girl Gone Bad,Rihanna
2025-11-29,110,SIS (Soft Is Strong) (EP),KATSEYE
2025-11-29,111,Zach Bryan,Zach Bryan
2025-11-29,112,Beauty Behind The Madness,The Weeknd
2025-11-29,113,Greatest Hits,Pitbull
2025-11-29,114,Hearts Sold Separately,Mariah the Scientist
2025-11-29,115,Son Of Spergy,Daniel Caesar
2025-11-29,116,The Best Of Pentatonix Christmas,Pentatonix
2025-11-29,117,If I Know Me,Morgan Wallen
2025-11-29,118,Cold Beer & Country Music,Zach Top
2025-11-29,119,Doo-Wops & Hooligans,Bruno Mars
2025-11-29,120,I Never Liked You,Future
2025-11-29,121,Leather,Cody Johnson
2025-11-29,122,Thank Me Later,Drake
2025-11-29,123,Greatest Hits,Creed
2025-11-29,124,ANTI,Rihanna
2025-11-29,125,Freudian,Daniel Caesar
2025-11-29,126,Starting Over,Chris Stapleton
2025-11-29,127,This One's For You,Luke Combs
2025-11-29,128,Greatest Hits,Tom Petty And The Heartbreakers
2025-11-29,129,The Best Of Sade,Sade
2025-11-29,130,American Heart,Benson Boone
2025-11-29,131,Rebel,EsDeeKid
2025-11-29,132,What Not To,Tucker Wetmore
2025-11-29,133,Born To Die,Lana Del Rey
2025-11-29,134,Goodbye & Good Riddance,Juice WRLD
2025-11-29,135,2014 Forest Hills Drive,J. Cole
2025-11-29,136,Memories And Empties,Colter Wall
2025-11-29,137,Greatest Hits,Guns N' Roses
2025-11-29,138,T R A P S O U L,Bryson Tiller
2025-11-29,139,Greatest Hits,Fleetwood Mac
2025-11-29,140,35 Biggest Hits,Toby Keith
2025-11-29,141,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-29,142,Greatest Hits,2Pac
2025-11-29,143,Tropicoqueta,Karol G
2025-11-29,144,Texas Forever,Hudson Westbrook
2025-11-29,145,The Andy Williams Christmas Album,Andy Williams
2025-11-29,146,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee
2025-11-29,147,Heroes & Villains,Metro Boomin
2025-11-29,148,Last Christmas (Soundtrack),George Michael & Wham!
2025-11-29,149,Own Worst Enemy,Gavin Adcock
2025-11-29,150,More Life,Drake
2025-11-29,151,1989 (Taylor's Version),Taylor Swift
2025-11-29,152,Higher,Chris Stapleton
2025-11-29,153,The Great American Bar Scene,Zach Bryan
2025-11-29,154,OK Computer,Radiohead
2025-11-29,155,(((((ultraSOUND))))),The Neighbourhood
2025-11-29,156,Teenage Dream,Katy Perry
2025-11-29,157,Brat,Charli xcx
2025-11-29,158,Never Enough,Daniel Caesar
2025-11-29,159,Gold: Greatest Hits,ABBA
2025-11-29,160,Evermore,Taylor Swift
2025-11-29,161,All Time Greatest Hits,Lynyrd Skynyrd
2025-11-29,162,Over It,Summer Walker
2025-11-29,163,No Labels: Part 01 (EP),YEONJUN
2025-11-29,164,Happier Than Ever,Billie Eilish
2025-11-29,165,House Of Balloons,The Weeknd
2025-11-29,166,Genesis,Peso Pluma
2025-11-29,167,Religiously. The Album.,Bailey Zimmerman
2025-11-29,168,Exodo,Peso Pluma
2025-11-29,169,Utopia,Travis Scott
2025-11-29,170,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers
2025-11-29,171,Toxicity,System of a Down
2025-11-29,172,Tha Carter III,Lil Wayne
2025-11-29,173,Beautifully Broken,Jelly Roll
2025-11-29,174,Even In Arcadia,Sleep Token
2025-11-29,175,Planet Her,Doja Cat
2025-11-29,176,1989,Taylor Swift
2025-11-29,177,Restless Mind,Sam Barber
2025-11-29,178,Todavia Me Amas: Lo Mejor de Aventura,Aventura
2025-11-29,179,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-29,180,Child Of God,Forrest Frank
2025-11-29,181,A Bobby Helms Christmas (EP),Bobby Helms
2025-11-29,182,Hamilton: 10 Shots (Highlights From The Original Broadway Cast Recording),Original Broadway Cast Recording
2025-11-29,183,Greatest Hits,Bob Seger & The Silver Bullet Band
2025-11-29,184,"Thank U, Next",Ariana Grande
2025-11-29,185,Gettin' Old,Luke Combs
2025-11-29,186,Mi Vida Mi Muerte,Neton Vega
2025-11-29,187,SoulFly,Rod Wave
2025-11-29,188,A Matter Of Time,Laufey
2025-11-29,189,Greatest Hits,Aerosmith
2025-11-29,190,No Vacancy,Treaty Oak Revival
2025-11-29,191,IGOR,"Tyler, the Creator"
2025-11-29,192,Last Lap,Rod Wave
2025-11-29,193,ASTROWORLD,Travis Scott
2025-11-29,194,We Don't Trust You,Future & Metro Boomin
2025-11-29,195,One - X,Three Days Grace
2025-11-29,196,Cigarettes After Sex,Cigarettes After Sex
2025-11-29,197,King Of Hearts,Brandon Lake
2025-11-29,198,Metallica,Metallica
2025-11-29,199,Kansas Anymore,Role Model
2025-11-29,200,Hot Fuss,The Killers
